,,200,2000,600
19/09:00:14,255.15,255.2614238,255.2879957,255.2712256
19/09:00:14,255.2,255.2608126,255.2879078,255.2709886
19/09:00:14,255.15,255.25971,255.2877699,255.2705859
19/09:00:14,255.15,255.2586183,255.2876322,255.2701847
19/09:00:14,255.15,255.2575376,255.2874947,255.2697847
19/09:00:14,255.2,255.256965,255.2874072,255.2695525
19/09:00:15,255.15,255.2559007,255.2872699,255.2691546
19/09:00:15,255.15,255.254847,255.2871327,255.2687581
19/09:00:15,255.15,255.2538037,255.2869956,255.2683629
19/09:00:15,255.15,255.2527708,255.2868587,255.267969
19/09:00:15,255.2,255.2522458,255.2867719,255.2677428
19/09:00:15,255.2,255.2517259,255.2866851,255.2675174
19/09:00:15,255.2,255.2512112,255.2865985,255.2672927
19/09:00:15,255.2,255.2507017,255.2865119,255.2670688
19/09:00:15,255.2,255.2501972,255.2864255,255.2668456
19/09:00:15,255.2,255.2496977,255.2863391,255.2666231
19/09:00:15,255.2,255.2492032,255.2862528,255.2664014
19/09:00:15,255.2,255.2487136,255.2861666,255.2661805
19/09:00:15,255.2,255.2482289,255.2860805,255.2659602
19/09:00:15,255.15,255.2472515,255.2859445,255.2655743
19/09:00:15,255.15,255.2462838,255.2858086,255.2651897
19/09:00:15,255.15,255.2453258,255.2856728,255.2648064
19/09:00:15,255.2,255.2448748,255.2855872,255.2645907
19/09:00:15,255.15,255.2439307,255.2854517,255.2642094
19/09:00:15,255.15,255.2429961,255.2853163,255.2638293
19/09:00:15,255.15,255.2420708,255.2851811,255.2634505
19/09:00:16,255.15,255.2411546,255.2850459,255.263073
19/09:00:16,255.15,255.2402476,255.284911,255.2626967
19/09:00:16,255.15,255.2393496,255.2847761,255.2623217
19/09:00:16,255.15,255.2384606,255.2846414,255.2619479
19/09:00:16,255.2,255.2380779,255.2845568,255.2617418
19/09:00:16,255.2,255.237699,255.2844723,255.2615363
19/09:00:16,255.2,255.2373239,255.2843879,255.2613315
19/09:00:16,255.2,255.2369525,255.2843035,255.2611274
19/09:00:16,255.2,255.2365848,255.2842193,255.260924
19/09:00:16,255.2,255.2362208,255.2841351,255.2607213
19/09:00:17,255.15,255.2353629,255.284001,255.2603528
19/09:00:18,255.2,255.235011,255.2839171,255.260152
19/09:00:18,255.2,255.2346626,255.2838332,255.2599518
19/09:00:18,255.2,255.2343177,255.2837494,255.2597523
19/09:00:18,255.2,255.2339763,255.2836657,255.2595534
19/09:00:18,255.2,255.2336382,255.2835821,255.2593553
19/09:00:19,255.25,255.233801,255.2835485,255.2593241
19/09:00:19,255.25,255.2339622,255.283515,255.2592931
19/09:00:19,255.25,255.2341218,255.2834815,255.2592622
19/09:00:19,255.25,255.2342798,255.283448,255.2592314
19/09:00:19,255.2,255.2339387,255.2833646,255.2590342
19/09:00:19,255.2,255.233601,255.2832813,255.2588378
19/09:00:19,255.15,255.2327691,255.2831481,255.2584756
19/09:00:19,255.2,255.2324431,255.2830649,255.258281
19/09:00:19,255.2,255.2321202,255.2829819,255.2580871
19/09:00:19,255.25,255.2322981,255.282949,255.2580601
19/09:00:19,255.2,255.2319768,255.2828661,255.2578669
19/09:00:19,255.2,255.2316586,255.2827832,255.2576744
19/09:00:20,255.25,255.2318411,255.2827505,255.2576488
19/09:00:20,255.25,255.2320218,255.2827177,255.2576234
19/09:00:20,255.25,255.2322007,255.282685,255.257598
19/09:00:20,255.25,255.2323778,255.2826524,255.2575727
19/09:00:20,255.25,255.2325531,255.2826197,255.2575475
19/09:00:20,255.2,255.2322292,255.2825371,255.257356
19/09:00:20,255.2,255.2319085,255.2824546,255.2571651
19/09:00:20,255.2,255.231591,255.2823722,255.2569749
19/09:00:20,255.25,255.2317742,255.2823399,255.2569517
19/09:00:20,255.25,255.2319556,255.2823076,255.2569286
19/09:00:20,255.25,255.2321351,255.2822753,255.2569055
19/09:00:20,255.25,255.2323129,255.282243,255.2568825
19/09:00:20,255.25,255.2324888,255.2822108,255.2568596
19/09:00:20,255.2,255.2321656,255.2821286,255.2566704
19/09:00:20,255.25,255.232343,255.2820965,255.2566482
19/09:00:20,255.25,255.2325187,255.2820644,255.2566261
