시간,시가,고가,저가,종가,200,400,600,800,1000,1200
27/09:00:17,273.75,273.75,273.75,273.75,273.86,0,0,0,0,0
27/09:00:17,273.75,273.75,273.75,273.75,273.86,0,0,0,0,0
27/09:00:17,273.75,273.75,273.75,273.75,273.86,0,0,0,0,0
27/09:00:17,273.75,273.75,273.75,273.75,273.86,0,0,0,0,0
27/09:00:17,273.8,273.8,273.8,273.8,273.87,0,0,0,0,0
27/09:00:17,273.75,273.75,273.75,273.75,273.87,0,0,0,0,0
27/09:00:18,273.75,273.75,273.75,273.75,273.83,0,0,0,0,0
27/09:00:18,273.75,273.75,273.75,273.75,273.83,0,0,0,0,0
27/09:00:18,273.75,273.75,273.75,273.75,273.83,0,0,0,0,0
27/09:00:18,273.75,273.75,273.75,273.75,273.83,0,0,0,0,0
27/09:00:18,273.75,273.75,273.75,273.75,273.83,0,0,0,0,0
27/09:00:18,273.75,273.75,273.75,273.75,273.83,0,0,0,0,0
27/09:00:18,273.75,273.75,273.75,273.75,273.84,0,0,0,0,0
27/09:00:18,273.75,273.75,273.75,273.75,273.84,0,0,0,0,0
27/09:00:18,273.8,273.8,273.8,273.8,273.84,0,0,0,0,0
27/09:00:18,273.8,273.8,273.8,273.8,273.84,0,0,0,0,0
27/09:00:18,273.8,273.8,273.8,273.8,273.84,0,0,0,0,0
27/09:00:18,273.8,273.8,273.8,273.8,273.84,0,0,0,0,0
27/09:00:18,273.8,273.8,273.8,273.8,273.84,0,0,0,0,0
27/09:00:18,273.8,273.8,273.8,273.8,273.85,0,0,0,0,0
27/09:00:19,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.81,0,0,0,0,0
27/09:00:19,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:19,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.75,273.75,273.75,273.75,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.82,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.83,0,0,0,0,0
27/09:00:19,273.8,273.8,273.8,273.8,273.83,0,0,0,0,0
27/09:00:20,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:20,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:20,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:20,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:20,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:20,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:20,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:20,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:20,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:20,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:20,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:20,273.75,273.75,273.75,273.75,273.81,0,0,0,0,0
27/09:00:21,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:21,273.85,273.85,273.85,273.85,273.8,0,0,0,0,0
27/09:00:21,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:21,273.85,273.85,273.85,273.85,273.8,0,0,0,0,0
27/09:00:21,273.85,273.85,273.85,273.85,273.8,0,0,0,0,0
27/09:00:21,273.85,273.85,273.85,273.85,273.8,0,0,0,0,0
27/09:00:22,273.85,273.85,273.85,273.85,273.8,0,0,0,0,0
27/09:00:22,273.8,273.8,273.8,273.8,273.8,0,0,0,0,0
27/09:00:22,273.85,273.85,273.85,273.85,273.8,0,0,0,0,0
